מטבח כשר,משופצת,"ממ""ד",דלתות פנדור,מזגן תדיראן,ריהוט,גישה לנכים,מיזוג,מעלית,מחסן,סורגים,חניות,מרפסות,קומות בבנין,מצב הנכס,סוג נכס,עיר,שכונה,תיווך,ציון,חדרים,קומה,"מ""ר",מחיר
0,1,0,0,0,0,0,1,1,0,1,1,,5,משופץ,דירה, חולון,[' נווה רמז'],0,4.3,4.5,1,110,"2,050,000 ₪"
0,1,1,0,0,1,0,1,1,0,0,1,,5,משופץ,גג/פנטהאוז, חולון,"["" ג'סי כהן""]",0,4.4,5,5,100,"2,230,000 ₪"
0,1,0,1,0,1,0,1,0,0,0,ללא,,3,משופץ,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,4,3,100,"1,530,000 ₪"
0,0,0,1,0,0,0,1,0,0,0,1,1,4,במצב שמור,דירה, חולון,[' נאות שושנים'],0,4.5,3,4,72,"1,420,000 ₪"
1,1,1,1,1,1,1,1,0,0,1,1,,2,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",3,2,78,"1,750,000 ₪"
0,0,0,0,1,0,0,1,1,0,1,1,,5,במצב שמור,דירה, חולון,[' נווה רמז'],0,4.3,4,4,100,"1,930,000 ₪"
,1,1,1,1,0,1,1,1,0,0,1,1,6,במצב שמור,,,,1,"4
מ",,,,
,1,1,1,0,0,1,0,1,0,0,1,1,6,חדש מקבלן,דירה, חולון,[' אגרובנק'],1,"4
מ",4,4,107,"2,100,000 ₪"
,1,0,1,0,0,0,1,0,0,1,1,,3,משופץ,דירה, חולון,[' נאות רחל'],1,"4
מ",3.5,1,80,"1,480,000 ₪"
,1,1,0,1,0,1,1,1,0,1,1,1,7,במצב שמור,דירה, חולון,[' תל גיבורים'],1,4.5,4,2,102,"2,150,000 ₪"
,1,1,1,0,0,1,0,1,1,0,1,1,9,חדש מקבלן,דירה, חולון,[' קרית אילון'],1,3.9,5,8,170,לא צוין מחיר
,1,1,1,1,0,1,1,1,1,1,3,1,15,חדש,דירה, חולון,[' קרית אילון'],1,3.9,5,11,14,"2,950,000 ₪"
,0,0,0,0,0,0,1,0,0,0,ללא,,3,במצב שמור,דירה, חולון,[' נאות רחל'],1,"4
מ",3,3,60,"1,380,000 ₪"
,1,1,1,1,0,1,1,1,1,1,1,1,5,משופץ,גג/פנטהאוז, חולון,[' בן גוריון'],1,"4
מ",5,5,200,"2,350,000 ₪"
,1,1,1,1,0,1,1,1,1,1,2,3,9,משופץ,גג/פנטהאוז, חולון,[' קרית אילון'],1,3.9,5.5,9,163,"4,270,000 ₪"
,0,0,0,0,0,0,1,0,0,1,ללא,1,4,דרוש שיפוץ,דירה, חולון,"[' מרכז', ' קרית עבודה']",1,4.3,2,4,48,"1,060,000 ₪"
,1,0,1,1,0,0,1,0,0,1,1,,4,משופץ,דירה, חולון,[' גרין ועם'],1,4.4,3.5,1,85,"1,720,000 ₪"
,1,0,0,1,0,1,1,1,0,0,ללא,,8,במצב שמור,דירה, חולון,[' נאות רחל'],1,"4
מ",4,2,80,"1,680,000 ₪"
,1,1,0,0,0,1,1,1,1,0,ללא,,12,משופץ,דירה, חולון,[' תל גיבורים'],1,4.5,4,8,77,"2,150,000 ₪"
,0,0,0,0,0,1,1,1,0,0,1,,3,במצב שמור,דירה, חולון,"[' מרכז', ' קרית עבודה']",1,4.3,3,2,78,"1,580,000 ₪"
,0,0,0,0,0,1,1,1,0,0,ללא,,8,במצב שמור,דירה, חולון,"[' מרכז', ' קרית עבודה']",1,4.3,4,8,100,"1,690,000 ₪"
,0,0,0,0,0,0,1,0,0,1,ללא,,3,במצב שמור,דירה, חולון,[' נאות רחל'],1,"4
מ",3.5,3,70,"1,350,000 ₪"
,1,0,0,1,0,1,1,1,0,1,1,,3,משופץ,דירה, חולון,[' קרית שרת מזרח'],1,4.5,3,1,67,"1,510,000 ₪"
,1,0,0,1,0,0,1,0,0,1,ללא,3,,משופץ,פרטי/קוטג', חולון,[],1,"4
מ",4.5,קרקע,230,"2,590,000 ₪"
,0,0,0,0,0,1,1,1,0,0,1,1,4,במצב שמור,דירה, חולון,[' אגרובנק'],1,"4
מ",3,1,77,"1,520,000 ₪"
0,0,1,1,1,0,1,1,1,1,1,1,1,3,חדש,דירה, חולון,[' נאות רחל'],0,"4
מ",4,2,100,"2,400,000 ₪"
0,0,1,1,0,1,1,1,1,1,0,2,3,8,דרוש שיפוץ,גג/פנטהאוז, חולון,[' קרית אילון'],0,3.9,5,8,320,"4,550,000 ₪"
0,0,0,0,1,1,0,1,1,0,1,1,1,9,משופץ,דירה, חולון,[' בן גוריון'],0,"4
מ",5,5,110,לא צוין מחיר
,,,,,,0,,,0,,,,,,מגרשים,מגרשים,[],0,-,קרקע,346,"968,800 ₪",
0,1,0,1,1,1,0,1,0,0,0,1,,4,משופץ,דירה, חולון,[' קרית שרת מערב'],0,4.4,3,2,73,"1,750,000 ₪"
0,1,0,0,1,1,0,1,0,0,1,ללא,,4,משופץ,דירה, חולון,"["" ג'סי כהן""]",0,4.4,5,2,110,"1,590,000 ₪"
0,1,0,1,1,0,0,1,1,0,1,1,,5,משופץ,דירה, חולון,[' קרית שרת מערב'],0,4.4,5,4,110,"2,080,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,2,1,8,משופץ,דירה, חולון,[' תל גיבורים'],0,4.5,3,3,60,"1,900,000 ₪"
0,0,1,0,0,1,1,1,1,0,1,1,1,13,חדש,דירה, חולון,[' תל גיבורים'],0,4.5,4,2,103,"2,350,000 ₪"
0,1,1,1,1,1,0,1,0,0,1,ללא,,2,משופץ,דירת גן, חולון,[' תל גיבורים'],0,4.5,4,קרקע,115,"1,850,000 ₪"
0,0,0,1,0,0,1,1,1,0,0,1,,4,משופץ,דירה, חולון,[' אגרובנק'],0,"4
מ",3,2,75,"1,790,000 ₪"
1,1,1,1,1,0,0,1,1,1,0,1,3,7,חדש מקבלן,דופלקס, חולון,[' נאות רחל'],0,"4
מ",5,6,122,"2,750,000 ₪"
0,1,0,1,1,0,1,1,1,0,1,1,,6,משופץ,דירה, חולון,[' קרית שרת מערב'],0,4.4,4,1,100,"1,870,000 ₪"
0,1,1,1,1,0,1,1,1,0,1,ללא,,9,משופץ,דירה, חולון,[' קרית שרת מערב'],0,4.4,2,1,55,"1,270,000 ₪"
,,,,,,0,,,0,,,,,,מגרשים, חולון,[' קרית אילון'],0,3.9,-,קרקע,55555,לא צוין מחיר
1,0,1,1,0,1,1,1,0,1,0,1,3,,משופץ,פרטי/קוטג', חולון,"["" ג'סי כהן""]",0,4.4,5,קרקע,250,"3,500,000 ₪"
0,0,1,1,1,1,1,1,1,1,1,1,1,7,חדש,דירה, חולון,[' אגרובנק'],0,"4
מ",3,6,79,"1,777,000 ₪"
0,0,1,1,0,0,1,1,1,0,1,ללא,2,7,דרוש שיפוץ,דירה, חולון,[' קרית שרת מערב'],0,4.4,6,2,120,"2,000,000 ₪"
,1,1,1,1,0,1,1,1,0,0,1,1,6,במצב שמור,,,,1,"4
מ",,,,
,0,1,0,0,0,0,1,0,1,0,ללא,,,במצב שמור,פרטי/קוטג', חולון,"[' מרכז', ' קרית עבודה']",1,4.3,9,קרקע,250,"3,690,000 ₪"
,0,0,0,0,0,1,1,1,0,0,ללא,,9,במצב שמור,דירה, חולון,[' קרית שרת מזרח'],1,4.5,3,6,61,"1,460,000 ₪"
,0,0,0,0,0,0,1,0,0,0,ללא,,7,במצב שמור,דירה, חולון,[],1,4.5,3,7,70,"1,480,000 ₪"
,1,1,1,0,0,0,1,0,0,0,ללא,2,1,חדש,גג/פנטהאוז, חולון,"["" רסקו ב'""]",1,"4
מ",5,1,130,"2,500,000 ₪"
,1,0,1,1,0,0,1,0,0,0,ללא,,4,משופץ,דירה, חולון,[' קרית שרת מערב'],1,4.4,3,3,60,"1,295,000 ₪"
,1,1,1,0,0,1,0,1,1,0,1,1,9,חדש מקבלן,דירה, חולון,[' קרית אילון'],1,3.9,6,1,177,לא צוין מחיר
,0,0,0,0,0,0,1,0,0,0,ללא,,4,במצב שמור,דירה, חולון,[],1,2.5,4,56,"1,170,000 ₪",
,,,,,,,,,,,,,,,דירה, חולון,[' נאות רחל'],0,3.5,3,70,"1,290,000 ₪",
,1,0,1,1,0,1,1,1,1,1,1,1,5,משופץ,דירה, חולון,[' קרית אילון'],1,3.9,5,1,125,"2,250,000 ₪"
,1,1,1,1,0,1,1,1,0,0,ללא,2,6,חדש,גג/פנטהאוז, חולון,"[' מרכז', ' קרית עבודה']",1,4.3,3,6,132,"2,390,000 ₪"
,1,1,1,0,0,1,0,1,0,0,1,1,6,חדש מקבלן,גג/פנטהאוז, חולון,[' אגרובנק'],1,"4
מ",4,6,171,"2,550,000 ₪"
,0,0,0,1,1,0,1,0,0,1,ללא,,3,במצב שמור,דירה, חולון,"["" ג'סי כהן""]",1,4.4,3,קרקע,75,"1,300,000 ₪"
,0,0,0,0,0,0,1,0,0,0,ללא,,4,במצב שמור,דירה, חולון,"[' מרכז', ' קרית עבודה']",1,4.3,4,4,100,"1,565,000 ₪"
,1,0,0,1,0,0,1,0,0,0,1,,3,משופץ,דירה, חולון,[],1,"4
מ",3,1,65,"1,440,000 ₪"
,1,1,1,0,0,1,1,1,0,0,1,1,4,חדש מקבלן,דירה, חולון,[],1,4.2,4,3,95,"2,100,000 ₪"
,1,1,1,1,1,1,1,1,1,1,1,1,6,משופץ,דירה, חולון,[' גרין ועם'],1,4.4,5,4,120,"2,300,000 ₪"
,1,0,0,0,0,0,1,0,0,0,ללא,1,2,משופץ,דירה, חולון,[],1,4.5,2.5,1,60,"1,299,998 ₪"
,1,0,0,0,0,1,1,1,0,1,1,,8,משופץ,דירה, חולון,[' נאות רחל'],1,"4
מ",5,1,120,"2,000,000 ₪"
0,1,1,1,0,0,1,1,1,1,1,1,1,12,משופץ,דירה, חולון,[' קרית אילון'],0,3.9,5,6,118,"2,980,000 ₪"
0,1,1,1,0,1,1,1,1,1,1,2,1,24,חדש,דירה, חולון,[' קרית אילון'],0,3.9,5,11,140,"3,450,000 ₪"
1,0,0,0,1,0,1,1,1,0,1,1,,6,דרוש שיפוץ,דירה, חולון,[' נאות רחל'],0,"4
מ",5,1,130,"1,930,000 ₪"
1,1,0,1,0,0,0,1,0,0,1,ללא,,3,משופץ,דירה, חולון,[' גרין ועם'],0,4.4,4,1,95,"1,900,001 ₪"
1,1,0,1,0,0,0,1,1,0,0,ללא,,6,משופץ,דירה, חולון,[' קרית שרת מערב'],0,4.4,4,1,80,"1,540,000 ₪"
,,,,,,0,,,0,,,,,,מגרשים,מגרשים,[],0,-,קרקע,399,"1,100,000 ₪",
0,1,0,1,0,0,1,1,1,0,0,1,,6,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",4.5,5,115,"1,920,000 ₪"
,,,,,,0,,,0,,,,,,מגרשים,מגרשים,[],0,-,קרקע,505,לא צוין מחיר,
0,1,1,1,0,1,1,1,1,1,1,1,,26,חדש,דירה, חולון,[' קרית אילון'],0,3.9,5,8,148,"3,280,000 ₪"
1,1,0,0,1,0,0,1,0,0,1,ללא,,3,משופץ,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,3,3,98,"1,550,000 ₪"
0,1,0,0,1,0,0,1,0,1,1,ללא,1,1,משופץ,גג/פנטהאוז, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,6,1,230,לא צוין מחיר
0,0,0,0,0,0,0,0,0,0,0,ללא,1,4,במצב שמור,דירה, חולון,[' אגרובנק'],0,"4
מ",3,4,60,"1,520,000 ₪"
0,1,0,0,0,1,0,1,0,0,0,ללא,,2,משופץ,דירה, חולון,[' אגרובנק'],0,"4
מ",5,2,110,"2,090,000 ₪"
0,1,0,0,0,1,0,1,0,0,1,ללא,,4,משופץ,דירה, חולון,"["" רסקו ב'""]",0,"4
מ",3,4,80,"1,540,000 ₪"
0,1,0,1,1,0,0,1,0,0,1,ללא,,4,משופץ,דירה, חולון,[' נאות שושנים'],0,4.5,3,4,67,"1,490,000 ₪"
0,0,1,1,1,1,1,1,1,1,0,2,1,12,משופץ,דירה, חולון,[' קרית אילון'],0,3.9,5,7,135,"2,950,000 ₪"
0,1,0,1,0,0,0,1,0,0,1,ללא,,3,משופץ,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,2,1,50,"1,340,000 ₪"
0,0,0,0,0,0,0,1,0,0,1,1,,2,במצב שמור,דירה, חולון,"["" רסקו ב'""]",0,"4
מ",4,1,100,"2,250,000 ₪"
,1,1,1,1,0,1,1,1,0,0,1,1,6,במצב שמור,,,,1,"4
מ",,,,
,1,1,1,1,1,1,1,1,0,1,ללא,2,7,חדש,גג/פנטהאוז, חולון,[' נאות רחל'],1,"4
מ",6,6,180,"2,190,000 ₪"
,1,1,1,1,1,1,1,1,1,1,1,1,12,משופץ,דירה, חולון,[' קרית אילון'],1,3.9,5,9,125,"2,540,000 ₪"
,0,1,1,0,0,1,0,1,1,0,1,1,9,חדש מקבלן,דירה, חולון,[' קרית רבין'],1,3.6,5,1,124,"2,680,000 ₪"
,0,0,0,0,0,0,1,1,0,0,1,,4,משופץ,דירה, חולון,[' נאות שושנים'],1,4.5,3,2,72,"1,450,000 ₪"
,0,0,0,0,0,0,1,0,0,0,ללא,1,1,במצב שמור,גג/פנטהאוז, חולון,[' מפדה אזרחי'],1,4.1,4,1,90,"1,890,000 ₪"
,1,1,0,1,0,0,1,0,0,1,2,3,2,במצב שמור,דופלקס, חולון,[' תל גיבורים'],1,4.5,5,2,120,"2,200,000 ₪"
,1,0,1,1,1,0,1,0,0,1,ללא,,3,משופץ,דירה, חולון,"[' מרכז', ' קרית עבודה']",1,4.3,2,3,55,"1,270,000 ₪"
,0,0,0,0,0,0,1,0,0,1,1,2,,במצב שמור,פרטי/קוטג', חולון,"["" רסקו ב'""]",1,"4
מ",6,קרקע,285,"3,680,000 ₪"
,1,0,0,0,0,0,1,0,0,0,ללא,,4,משופץ,דירה, חולון,[' גרין ועם'],1,4.4,3,1,87,"1,580,000 ₪"
,1,0,1,1,0,1,1,1,0,1,ללא,,3,משופץ,דירה, חולון,[' אגרובנק'],1,"4
מ",3.5,3,85,"1,740,000 ₪"
,1,1,1,0,0,1,1,1,1,0,1,1,4,משופץ,גג/פנטהאוז, חולון,[' גרין ועם'],1,4.4,3,4,70,"1,670,000 ₪"
,1,1,1,1,1,1,1,1,0,1,1,1,4,משופץ,דירה, חולון,[' גרין ועם'],1,4.4,3,3,70,"1,550,000 ₪"
,1,0,1,1,1,0,1,0,0,1,ללא,,4,משופץ,דירה, חולון,[' אגרובנק'],1,"4
מ",4,2,110,"1,770,000 ₪"
,1,1,1,1,1,1,1,1,1,1,1,1,18,חדש,דירה, חולון,[' קרית אילון'],1,3.9,4,6,100,"2,650,000 ₪"
,1,0,0,0,1,1,1,1,0,0,1,,12,משופץ,דירה, חולון,[],1,"4
מ",5,11,125,"2,040,000 ₪"
,0,0,1,1,0,0,1,0,0,0,ללא,,4,במצב שמור,דירה,דירה,[],1,"4
מ",4,3,92,"1,530,000 ₪"
,1,1,0,1,0,1,1,1,0,1,1,1,5,משופץ,דירה, חולון,[' קרית שרת מערב'],1,4.4,4,3,110,"2,100,000 ₪"
,1,0,1,1,0,0,1,0,0,1,1,1,4,משופץ,דירה, חולון,[' קרית שרת מזרח'],1,4.5,3,4,60,"1,155,000 ₪"
0,0,0,0,0,0,0,1,0,0,1,1,,2,במצב שמור,דירה, חולון,"["" רסקו ב'""]",0,"4
מ",4,1,100,"2,250,000 ₪"
0,0,1,1,1,0,1,1,1,1,0,2,2,11,במצב שמור,דירה, חולון,[' קרית אילון'],0,3.9,5,7,120,"2,820,000 ₪"
0,1,0,1,1,0,1,1,0,1,1,ללא,,1,משופץ,דירת גן, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,3,קרקע,95,"1,950,000 ₪"
0,1,0,0,0,0,0,1,1,0,1,1,1,9,משופץ,דירה, חולון,[' גרין ועם'],0,4.4,4,8,1,"1,770,000 ₪"
0,0,1,1,1,0,1,1,1,0,0,2,1,4,במצב שמור,דירה, חולון,[' בן גוריון'],0,"4
מ",4,3,93,"2,050,000 ₪"
1,1,0,0,1,0,0,1,1,1,1,2,,3,משופץ,גג/פנטהאוז, חולון,[' בן גוריון'],0,"4
מ",4.5,3,175,"2,800,000 ₪"
0,0,0,0,0,1,0,1,0,1,1,ללא,,4,דרוש שיפוץ,דירה, חולון,[' נאות יהודית ונווה ארזים'],0,4.5,3,1,58,"1,270,000 ₪"
0,1,0,0,0,0,1,1,0,0,0,ללא,1,4,משופץ,דירה, חולון,"["" רסקו א'""]",0,"4
מ",3,1,90,"1,680,000 ₪"
0,1,0,1,0,0,0,1,0,0,1,1,,4,משופץ,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,3,2,80,"1,550,000 ₪"
0,0,1,0,0,0,0,1,1,0,0,ללא,1,7,במצב שמור,דירה, חולון,[' קרית שרת מערב'],0,4.4,4,2,87,"1,795,000 ₪"
0,0,1,0,1,0,0,1,0,1,1,1,2,2,במצב שמור,גג/פנטהאוז, חולון,[' שיכון ותיקים'],0,4.2,6,2,100,"3,000,000 ₪"
0,0,0,0,1,1,1,1,0,0,0,ללא,1,2,דרוש שיפוץ,דירת גן, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,4,1,160,"1,830,000 ₪"
,,,,,,,,,,,,,,,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4,5,86,"1,870,000 ₪",
0,1,0,0,0,0,0,1,0,0,1,ללא,,4,משופץ,דירה, חולון,[' קרית שרת מזרח'],0,4.5,3,2,75,"1,430,000 ₪"
0,1,0,1,0,0,1,1,1,0,1,1,,5,משופץ,דירה, חולון,[' נווה רמז'],0,4.3,4,1,100,"1,890,000 ₪"
0,1,1,1,1,0,1,1,1,1,1,1,1,6,משופץ,גג/פנטהאוז, חולון,[' קרית שרת מערב'],0,4.4,5,6,999,לא צוין מחיר
,,,,,,0,,,0,,,,,,מגרשים, חולון,[' מולדת - דרום חולון'],0,-,קרקע,344,"808,400 ₪",
0,1,0,0,1,0,0,1,0,0,1,ללא,,4,משופץ,דירה, חולון,[' קרית שרת מערב'],0,4.4,4,2,80,"1,750,000 ₪"
,1,1,1,1,0,1,1,1,0,0,1,1,6,במצב שמור,,,,1,"4
מ",,,,
,0,0,0,0,0,0,1,0,0,0,ללא,,4,משופץ,דירה, חולון,[' נאות רחל'],1,"4
מ",3,1,60,"1,400,000 ₪"
,1,0,0,1,1,0,1,0,0,1,ללא,,4,משופץ,דירה, חולון,[' קרית שרת מערב'],1,4.4,3,2,60,"1,380,000 ₪"
,1,0,1,0,0,0,1,1,0,0,1,,6,במצב שמור,דירה, חולון,"[' מרכז', ' קרית עבודה']",1,4.3,4,2,85,"1,890,000 ₪"
,0,1,0,1,0,1,1,1,1,0,ללא,1,,במצב שמור,פרטי/קוטג', חולון,"[' מרכז', ' קרית עבודה']",1,4.3,5.5,קרקע,207,"3,890,000 ₪"
,1,0,0,1,1,0,1,0,0,0,ללא,,3,משופץ,דירה, חולון,[' אגרובנק'],1,"4
מ",3,3,83,"1,520,000 ₪"
,1,0,0,0,0,1,1,1,1,1,1,1,5,חדש,דירה, חולון,[' גרין ועם'],1,4.4,3,4,69,"1,690,000 ₪"
,0,0,0,0,0,0,1,0,0,0,ללא,,3,משופץ,דירה,דירה,[],1,"4
מ",3.5,2,75,"1,500,000 ₪"
,1,0,0,0,0,1,1,1,0,0,1,,4,משופץ,דירה, חולון,[],1,"4
מ",3,4,80,"1,550,000 ₪"
,1,1,0,1,1,1,1,1,0,1,1,1,6,משופץ,דירה, חולון,[' גרין ועם'],1,4.4,3,3,55,"1,420,000 ₪"
,1,1,1,1,0,1,1,1,1,0,1,1,7,חדש מקבלן,דירה, חולון,[' קרית שרת מערב'],1,4.4,4,6,87,"1,890,000 ₪"
,1,1,1,1,0,1,1,1,1,0,1,1,22,משופץ,דירה, חולון,[' קרית אילון'],1,3.9,4,2,107,"2,450,000 ₪"
,1,0,1,1,0,1,1,1,1,1,1,1,9,משופץ,דירה, חולון,[' קרית שרת מזרח'],1,4.5,3,5,75,לא צוין מחיר
,0,0,0,0,0,0,0,0,0,0,1,1,,דרוש שיפוץ,פרטי/קוטג', חולון,[' נאות יהודית ונווה ארזים'],1,4.5,3,קרקע,750,"4,700,000 ₪"
,0,0,0,0,0,0,1,0,1,0,ללא,,4,במצב שמור,דירה, חולון,[],1,4.3,4,2,110,"1,480,000 ₪"
,,,,,,,,,,,,,,,דירה, חולון,[' תל גיבורים'],0,3,4,121,"1,500,000 ₪",
,1,1,0,0,1,1,1,1,1,0,1,2,16,חדש,גג/פנטהאוז, חולון,[' קרית אילון'],1,3.9,6,16,184,"4,850,000 ₪"
,1,1,1,1,0,1,1,1,0,1,1,1,6,משופץ,גג/פנטהאוז, חולון,[' קרית שרת מערב'],1,4.4,5,6,155,"2,890,000 ₪"
,1,1,1,1,1,1,1,1,1,1,1,1,6,חדש מקבלן,דירה, חולון,[' נאות רחל'],1,"4
מ",5,4,123,"2,150,000 ₪"
0,0,0,0,0,0,0,0,0,0,1,1,,3,במצב שמור,דירה, חולון,[' אזור תעשיה א'],0,3,1,75,"1,520,000 ₪",
0,0,0,0,0,0,0,1,0,0,1,ללא,,3,במצב שמור,דירה, חולון,[' נאות רחל'],0,"4
מ",3,2,70,"1,580,000 ₪"
0,0,0,0,0,1,0,1,0,0,1,ללא,,4,במצב שמור,דירה, חולון,[' קרית שרת מערב'],0,4.4,4,4,80,"1,550,000 ₪"
0,0,1,0,0,0,1,1,1,0,0,1,,4,במצב שמור,גג/פנטהאוז, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,4,4,90,"2,290,000 ₪"
0,1,0,0,1,1,0,1,0,1,1,1,1,3,משופץ,גג/פנטהאוז, חולון,[' קרית שרת מזרח'],0,4.5,5,3,103,"1,790,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,2,1,7,חדש,דירת גן, חולון,[' קרית אילון'],0,3.9,5,קרקע,330,"4,200,000 ₪"
0,0,0,1,0,0,1,1,1,0,1,ללא,,7,משופץ,דירה, חולון,[' נאות יהודית ונווה ארזים'],0,4.5,3,1,70,"1,500,000 ₪"
0,1,1,0,0,0,0,1,1,1,1,2,1,13,משופץ,דירה, חולון,[' קרית רבין'],0,3.6,5,5,125,"3,100,000 ₪"
0,0,0,0,0,0,0,1,0,0,0,ללא,1,4,במצב שמור,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,2,3,50,"1,320,000 ₪"
1,1,0,0,1,1,1,1,1,0,0,1,,6,משופץ,גג/פנטהאוז, חולון,"["" ג'סי כהן""]",0,4.4,5,6,120,"2,400,000 ₪"
0,0,1,1,0,0,0,1,1,0,0,1,1,6,חדש מקבלן,דירה, חולון,[' נווה רמז'],0,4.3,4,5,90,"2,000,000 ₪"
0,0,0,0,0,0,0,1,0,1,0,ללא,,,דרוש שיפוץ,פרטי/קוטג', חולון,[' שיכון ותיקים'],0,4.2,4,קרקע,260,"2,390,000 ₪"
0,0,0,0,1,0,0,1,1,0,1,1,,5,במצב שמור,דירה, חולון,"["" רסקו ב'""]",0,"4
מ",5,1,100,לא צוין מחיר
0,1,1,1,1,1,1,1,1,0,1,1,1,8,משופץ,דירה, חולון,[' קרית מיכה'],0,"5
מ",4,2,108,"2,150,000 ₪"
0,1,0,0,1,1,0,1,1,1,0,1,,6,משופץ,דירה, חולון,[' בן גוריון'],0,"4
מ",3,3,61,"1,750,000 ₪"
0,1,0,0,0,0,1,1,1,0,1,1,,7,משופץ,דירה, חולון,[' בן גוריון'],0,"4
מ",3,6,60,"1,600,000 ₪"
,,,,,,0,,,0,,,,,,מגרשים,מגרשים,[],0,-,קרקע,505,"1,200,000 ₪",
0,0,1,0,1,1,1,1,1,0,1,1,2,7,במצב שמור,דירה, חולון,[' תל גיבורים'],0,4.5,4.5,1,105,"2,250,000 ₪"
,1,1,1,1,0,1,1,1,0,0,1,1,6,במצב שמור,,,,1,"4
מ",,,,
,0,1,0,1,0,1,1,1,1,1,1,1,9,חדש,דירה, חולון,[' קרית רבין'],1,3.6,5,2,120,"2,520,000 ₪"
,1,0,0,0,0,0,1,0,0,0,ללא,1,3,משופץ,דירה, חולון,[' אגרובנק'],1,"4
מ",5.5,2,100,"1,590,000 ₪"
,0,0,0,0,0,0,1,0,0,0,ללא,,4,במצב שמור,דירה, חולון,"["" ג'סי כהן""]",1,4.4,3,3,50,"1,199,000 ₪"
,1,1,0,1,0,1,1,1,1,0,ללא,2,,משופץ,פרטי/קוטג', חולון,"["" רסקו ב'""]",1,"4
מ",6,קרקע,300,"9,500,000 ₪"
,1,0,1,1,0,1,0,0,1,0,1,1,1,משופץ,דירה, חולון,"[' מרכז', ' קרית עבודה']",1,4.3,5,קרקע,115,לא צוין מחיר
,0,0,0,0,0,0,1,1,0,0,1,,4,במצב שמור,דירה, חולון,"["" רסקו א'""]",1,"4
מ",4,2,80,"1,750,000 ₪"
,0,0,0,0,0,1,1,1,0,0,2,1,7,משופץ,גג/פנטהאוז, חולון,[],1,"4
מ",5.5,7,130,"2,490,000 ₪"
,0,0,0,0,1,0,1,0,0,0,1,,4,במצב שמור,דירה, חולון,[' קרית שרת מערב'],1,4.4,3,3,65,"1,300,000 ₪"
,0,0,1,1,0,1,1,1,0,1,1,1,9,במצב שמור,דירה, חולון,[' בן גוריון'],1,"4
מ",5,3,125,"2,190,000 ₪"
,1,0,0,1,0,0,1,0,0,0,ללא,,4,משופץ,דירה, חולון,[' נאות רחל'],1,"4
מ",3.5,4,85,"1,450,000 ₪"
,1,0,0,1,0,1,1,1,0,1,ללא,,,משופץ,כללי, חולון,[' נאות רחל'],1,"4
מ",4,1,72,"550,000 ₪"
,0,0,0,1,0,1,1,1,0,1,ללא,,6,דרוש שיפוץ,דירה, חולון,[' נווה רמז'],1,4.3,4,3,80,"1,720,000 ₪"
,1,0,1,1,1,1,1,1,0,1,1,,3,משופץ,דירה, חולון,[' קרית שרת מערב'],1,4.4,3,2,70,"1,480,000 ₪"
,1,0,1,1,0,0,1,0,0,1,ללא,,4,משופץ,דירה, חולון,[],1,4.3,2.5,1,55,"1,390,000 ₪"
,,,,,,,,,,,,,,,גג/פנטהאוז, חולון,[' נאות רחל'],0,4,3,80,"1,780,000 ₪",
,0,1,1,0,0,1,0,1,1,1,1,1,7,חדש מקבלן,דירת גן, חולון,[' אגרובנק'],1,"4
מ",4,קרקע,95,"2,499,000 ₪"
,0,0,0,0,0,0,1,0,0,1,ללא,1,,דרוש שיפוץ,פרטי/קוטג', חולון,[' שיכון ותיקים'],1,4.2,4,קרקע,250,"2,390,000 ₪"
,1,0,1,1,1,1,1,1,0,1,1,,7,משופץ,דירה, חולון,[],1,"4
מ",3.5,1,76,"1,550,000 ₪"
0,1,0,0,0,0,0,1,0,0,0,1,,3,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",3,3,70,"1,520,000 ₪"
0,1,0,0,0,1,0,1,0,0,0,ללא,,4,משופץ,דירה, חולון,[' שיכון ותיקים'],0,4.2,3.5,3,66,"1,450,000 ₪"
0,1,0,0,0,0,0,1,0,1,1,1,,6,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",4.5,1,120,"1,830,000 ₪"
0,0,0,0,0,0,0,1,0,0,1,ללא,,4,דרוש שיפוץ,דירה, חולון,"["" ג'סי כהן""]",0,4.4,2,1,50,"1,150,000 ₪"
1,0,0,0,1,0,1,1,1,0,0,1,,3,במצב שמור,דירה, חולון,"["" רסקו א'""]",0,"4
מ",3,2,70,"2,000,000 ₪"
