מטבח כשר,משופצת,"ממ""ד",דלתות פנדור,מזגן תדיראן,ריהוט,גישה לנכים,מיזוג,מעלית,מחסן,סורגים,חניות,מרפסות,קומות בבנין,מצב הנכס,סוג נכס,עיר,שכונה,תיווך,ציון,חדרים,קומה,"מ""ר",מחיר
0,1,0,1,1,0,1,1,1,1,1,1,,9,משופץ,דירה, חולון,[' בן גוריון'],0,"4
מ",4,5,110,"1,890,000 ₪"
0,1,1,1,1,1,0,1,1,1,0,1,1,22,חדש,דירה, חולון,[' קרית אילון'],0,3.9,4,5,112,"2,850,000 ₪"
0,0,0,1,1,1,1,1,1,1,0,ללא,,9,משופץ,דירה, חולון,[' אגרובנק'],0,"4
מ",4,2,95,"1,800,000 ₪"
0,0,0,0,0,1,0,1,0,0,0,ללא,,3,משופץ,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,3,1,70,"1,650,000 ₪"
0,1,0,1,1,1,0,1,0,0,0,ללא,,4,משופץ,דירה, חולון,"["" רסקו א'""]",0,"4
מ",4,2,82,"1,580,000 ₪"
,,,,,,,,,,,,,,,דירת גן, חולון,[' אגרובנק'],0,3.5,1,140,"4,200,000 ₪",
,,,,,,,,,,,,,,,מרתף/פרטר, חולון,[' נאות רחל'],0,3,-1,70,"1,190,000 ₪",
0,0,0,1,0,0,0,1,0,0,1,ללא,2,2,משופץ,גג/פנטהאוז, חולון,[' נאות יהודית ונווה ארזים'],0,4.5,5,2,110,"1,790,000 ₪"
0,1,1,1,1,0,1,1,1,1,0,1,1,9,חדש,גג/פנטהאוז, חולון,[' קרית אילון'],0,3.9,5.5,2,120,"3,400,000 ₪"
0,1,0,0,0,0,0,1,0,0,0,ללא,,4,משופץ,דירה, חולון,"["" רסקו א'""]",0,"4
מ",2.5,3,70,"1,420,000 ₪"
0,1,0,0,1,0,0,1,1,0,0,1,,13,משופץ,דירה, חולון,[' בן גוריון'],0,"4
מ",5,11,125,"2,100,000 ₪"
1,0,0,0,1,1,0,0,1,0,1,1,2,9,במצב שמור,דירה, חולון,[' בן גוריון'],0,"4
מ",5,2,114,"2,040,000 ₪"
0,0,1,0,0,1,0,1,0,1,1,1,3,,במצב שמור,פרטי/קוטג', חולון,"["" רסקו ב'""]",0,"4
מ",9,קרקע,360,"4,000,000 ₪"
0,1,0,0,1,0,0,1,1,0,1,1,,3,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",3,1,60,"1,480,000 ₪"
0,1,0,1,1,0,0,1,1,0,1,1,1,5,משופץ,גג/פנטהאוז, חולון,[' בן גוריון'],0,"4
מ",6,4,152,"3,300,000 ₪"
0,0,0,0,1,0,0,1,0,0,1,ללא,,4,במצב שמור,דירה, חולון,[' קרית שרת מזרח'],0,4.5,3,1,70,"1,500,000 ₪"
,1,1,1,1,0,1,1,1,0,0,1,1,6,במצב שמור,,,,1,"4
מ",,,,
,1,0,0,1,0,0,1,0,0,0,ללא,1,1,משופץ,דירה, חולון,[' תל גיבורים'],1,4.5,2,1,50,"1,350,000 ₪"
,1,0,1,1,0,0,1,0,0,1,ללא,1,4,משופץ,דירה, חולון,[' גרין ועם'],1,4.4,3,4,70,"1,199,000 ₪"
,1,0,1,1,0,1,1,1,0,0,1,1,6,משופץ,גג/פנטהאוז, חולון,[' קרית שרת מערב'],1,4.4,5,6,200,"2,850,000 ₪"
,1,1,1,1,0,1,1,1,1,0,1,1,9,חדש,דירה, חולון,[' קרית אילון'],1,3.9,5,4,120,"2,690,000 ₪"
,1,1,1,1,0,1,1,1,1,1,3,1,18,חדש,גג/פנטהאוז, חולון,[' קרית אילון'],1,3.9,6,18,150,"3,950,000 ₪"
,0,1,1,1,0,1,1,1,0,1,2,1,9,במצב שמור,דירה, חולון,[' קרית אילון'],1,3.9,5,1,120,"2,450,000 ₪"
,1,1,1,1,1,1,1,1,1,1,2,1,12,משופץ,דירה, חולון,[' קרית אילון'],1,3.9,5,5,122,"2,450,000 ₪"
,1,1,1,1,1,1,1,1,1,1,2,1,11,משופץ,דירה, חולון,[' קרית אילון'],1,3.9,5,4,125,"2,850,000 ₪"
,0,1,0,1,0,1,1,1,1,0,2,1,12,במצב שמור,דירה, חולון,[' קרית אילון'],1,3.9,5,9,128,"2,490,000 ₪"
,1,0,1,1,0,0,1,1,0,0,1,1,12,משופץ,דירה, חולון,[' קרית אילון'],1,3.9,5,3,115,"2,470,000 ₪"
,1,1,1,1,0,1,1,1,0,1,1,1,6,משופץ,דירה, חולון,[' נאות רחל'],1,"4
מ",5,1,110,"1,690,000 ₪"
,1,0,1,1,0,1,1,1,0,0,1,,6,משופץ,דירה, חולון,[],1,4.4,4,1,100,"1,920,000 ₪"
,0,0,1,1,0,0,1,0,0,1,ללא,1,4,במצב שמור,דירה, חולון,[' נאות רחל'],1,"4
מ",3,3,72,"1,295,000 ₪"
,1,1,1,1,0,1,1,1,1,0,1,1,28,חדש,דירה, חולון,[' קרית אילון'],1,3.9,5,4,130,"2,890,000 ₪"
,0,0,0,0,0,0,1,0,0,1,1,,3,במצב שמור,דירה, חולון,[' גרין ועם'],1,4.4,3.5,2,75,"1,520,000 ₪"
,0,0,0,0,0,1,1,1,0,0,ללא,,4,במצב שמור,דירה, חולון,[],1,4.3,3,3,90,"1,520,000 ₪"
,1,1,1,1,0,1,1,1,0,0,1,1,6,במצב שמור,דירה, חולון,[' בן גוריון'],1,"4
מ",5,3,110,"2,000,000 ₪"
,0,0,0,0,0,1,1,1,0,1,1,,3,במצב שמור,דירה, חולון,[' נאות רחל'],1,"4
מ",4,1,88,"1,690,000 ₪"
0,0,0,0,1,0,0,1,0,0,1,ללא,,4,במצב שמור,דירה, חולון,[' קרית שרת מזרח'],0,4.5,3,1,70,"1,500,000 ₪"
0,1,0,0,0,0,0,1,0,0,0,ללא,,4,משופץ,דירה, חולון,"["" ג'סי כהן""]",0,4.4,3,1,60,"1,390,000 ₪"
0,1,0,0,0,0,0,1,1,0,0,ללא,,9,משופץ,דירה, חולון,[' קרית שרת מזרח'],0,4.5,3,5,70,"1,490,000 ₪"
0,1,0,0,1,0,0,1,0,1,0,ללא,,3,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",4,3,85,"1,500,000 ₪"
0,0,0,0,0,0,1,1,0,0,0,ללא,1,1,משופץ,דירה, חולון,[' נווה רמז'],0,4.3,2,1,40,"1,800,000 ₪"
0,1,0,0,0,0,0,1,1,0,0,ללא,1,4,משופץ,דירה, חולון,[' בן גוריון'],0,"4
מ",4,1,125,"1,970,000 ₪"
